oficio_c8_4d,oficio_c8_label,occupation_name_isco08,grupo_exposicion_4d,ocupados,observaciones,exposicion_promedio_4d,desviacion_tareas_4d,participacion_empleo
7515,Catadores y clasificadores de alimentos y bebidas,Food and Beverage Tasters and Graders,Minimal Exposure,4590.7657015003315,61,0.31,0.16,0.00019998632939104946
3135,Controladores de procesos de producción de metales,Metal Production Process Controllers,Minimal Exposure,2348.4312499544003,27,0.31,0.13,0.00010230409827975422
3154,Controladores de tráfico aéreo y marítimo,Air Traffic Controllers,Minimal Exposure,2139.0491377475237,37,0.31,0.09,9.318283991391926e-05
2655,Actores,Actors,Minimal Exposure,1113.0937804145594,14,0.31,0.15,4.8489414160335905e-05
2330,Profesores de educación secundaria,Secondary Education Teachers,Not Exposed,211449.26757511165,3925,0.3,0.07,0.00921130931621111
2142,Ingenieros civiles,Civil Engineers,Not Exposed,83393.04455075014,1425,0.3,0.06,0.003632829458274974
3213,Técnicos y asistentes farmacéuticos,Pharmaceutical Technicians and Assistants,Minimal Exposure,26819.293019593533,563,0.3,0.12,0.0011683218697261409
2149,Ingenieros no clasificados en otros grupos primarios,Engineering Professionals Not Elsewhere Classified,Not Exposed,7414.523424155805,97,0.3,0.08,0.0003229969508782102
5161,"Astrólogos, adivinos y trabajadores afines","Astrologers, Fortune-tellers and Related Workers",Minimal Exposure,1949.8663075219636,30,0.3,0.16,8.49415176028601e-05
1341,Directores de servicios de cuidados infantiles,Child Care Service Managers,Minimal Exposure,1025.9721548915174,13,0.3,0.15,4.46941575012473e-05
3259,Otros técnicos y profesionales del nivel medio de la salud no clasificados en otros grupos primarios,Health Associate Professionals Not Elsewhere Classified,Minimal Exposure,91.11348172010719,3,0.3,0.15,3.969152849880288e-06
2211,Médicos generales,Generalist Medical Practitioners,Not Exposed,62878.436620525106,1035,0.29,0.1,0.0027391569413958367
9629,Otras ocupaciones elementales no clasificadas en otros grupos primarios,Elementary Workers Not Elsewhere Classified,Minimal Exposure,20032.493717181165,308,0.29,0.14,0.0008726703011088165
2132,"Agrónomos, silvicultores, zootecnistas y afines","Farming, Forestry and Fisheries Advisers",Not Exposed,18635.734895639118,302,0.29,0.1,0.0008118236607164585
2146,"Ingenieros de minas, metalúrgicos y afines","Mining Engineers, Metallurgists and Related Professionals",Not Exposed,6629.86443932171,89,0.29,0.05,0.00028881505609116117
3121,Supervisores de minas,Mining Supervisors,Not Exposed,2749.3045767938047,53,0.29,0.08,0.00011976723850474772
3133,Controladores de instalaciones de procesamiento de productos químicos,Chemical Processing Plant Controllers,Not Exposed,2026.642150301096,21,0.29,0.1,8.82860836255358e-05
3134,Operadores de instalaciones de refinación de petróleo y gas natural,Petroleum and Natural Gas Refining Plant Operators,Not Exposed,1591.5510452726762,41,0.29,0.11,6.933232325024757e-05
3152,"Capitanes, oficiales de cubierta y prácticos",Ships' Deck Officers and Pilots,Not Exposed,617.232101828003,27,0.29,0.11,2.6888321132695445e-05
5131,Meseros,Waiters,Minimal Exposure,338997.57488866476,5821,0.28,0.16,0.014767662974456544
3123,Supervisores de la construcción,Construction Supervisors,Not Exposed,148770.82413363367,2262,0.28,0.06,0.0064808646255336685
2263,Profesionales de la salud y la higiene laboral y ambiental,Environmental and Occupational Health and Hygiene Professionals,Not Exposed,49618.23686869478,626,0.28,0.05,0.0021615063166876354
